AlertID,Attack,RiskScore,Priority,MITRE_Technique,Timestamp
29,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:40
30,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:42
31,DDoS,90,Critical,Impact,2026-03-06 18:34:44
32,DDoS,90,Critical,Impact,2026-03-06 18:34:46
33,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:49
34,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:51
35,PortScan,50,Medium,Reconnaissance,2026-03-06 18:34:53
36,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:55
37,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:57
38,BENIGN,10,Low,Normal Activity,2026-03-06 18:34:59
39,DoS Hulk,85,High,Normal Activity,2026-03-06 18:35:01
40,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:03
41,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:06
42,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:08
43,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:10
44,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:12
45,PortScan,50,Medium,Reconnaissance,2026-03-06 18:35:14
46,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:16
47,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:19
48,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:21
49,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:23
50,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:25
51,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:27
52,PortScan,50,Medium,Reconnaissance,2026-03-06 18:35:29
53,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:32
54,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:34
55,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:36
56,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:38
57,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:40
58,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:43
59,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:45
60,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:47
61,DoS GoldenEye,85,High,Normal Activity,2026-03-06 18:35:49
62,PortScan,50,Medium,Reconnaissance,2026-03-06 18:35:51
63,DDoS,90,Critical,Impact,2026-03-06 18:35:53
64,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:56
65,BENIGN,10,Low,Normal Activity,2026-03-06 18:35:58
66,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:00
67,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:02
68,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:04
69,DoS Hulk,85,High,Normal Activity,2026-03-06 18:36:07
70,DoS Hulk,85,High,Normal Activity,2026-03-06 18:36:09
71,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:11
72,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:13
73,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:15
74,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:17
75,PortScan,50,Medium,Reconnaissance,2026-03-06 18:36:19
76,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:21
77,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:23
78,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:25
79,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:28
80,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:30
81,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:32
82,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:34
83,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:36
84,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:38
85,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:40
86,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:42
87,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:44
88,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:46
89,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:49
90,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:51
91,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:53
92,DoS Hulk,85,High,Normal Activity,2026-03-06 18:36:55
93,BENIGN,10,Low,Normal Activity,2026-03-06 18:36:57
94,DoS Hulk,85,High,Normal Activity,2026-03-06 18:36:59
95,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:01
96,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:03
97,DDoS,90,Critical,Impact,2026-03-06 18:37:05
98,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:07
99,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:10
100,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:12
101,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:14
102,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:16
103,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:18
104,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:20
105,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:22
106,PortScan,50,Medium,Reconnaissance,2026-03-06 18:37:24
107,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:26
108,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:28
109,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:31
110,DDoS,90,Critical,Impact,2026-03-06 18:37:33
111,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:35
112,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:37
113,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:39
114,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:41
115,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:44
116,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:46
117,DoS Hulk,85,High,Normal Activity,2026-03-06 18:37:48
118,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:50
119,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:52
120,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:55
121,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:57
122,BENIGN,10,Low,Normal Activity,2026-03-06 18:37:59
123,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:01
124,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:03
125,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:06
126,PortScan,50,Medium,Reconnaissance,2026-03-06 18:38:08
127,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:10
128,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:12
129,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:14
130,DDoS,90,Critical,Impact,2026-03-06 18:38:17
131,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:19
132,DDoS,90,Critical,Impact,2026-03-06 18:38:21
133,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:23
134,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:25
135,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:27
136,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:30
137,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:32
138,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:34
139,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:36
140,DoS Hulk,85,High,Normal Activity,2026-03-06 18:38:38
141,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:40
142,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:43
143,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:45
144,DoS Hulk,85,High,Normal Activity,2026-03-06 18:38:47
145,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:49
146,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:51
147,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:53
148,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:56
149,BENIGN,10,Low,Normal Activity,2026-03-06 18:38:58
150,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:00
151,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:02
152,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:04
153,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:06
154,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:09
155,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:11
156,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:13
157,DoS Hulk,85,High,Normal Activity,2026-03-06 18:39:15
158,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:17
159,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:20
160,DDoS,90,Critical,Impact,2026-03-06 18:39:22
161,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:24
162,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:26
163,DDoS,90,Critical,Impact,2026-03-06 18:39:28
164,DoS GoldenEye,85,High,Normal Activity,2026-03-06 18:39:31
165,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:33
166,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:35
167,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:37
168,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:39
169,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:42
170,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:44
171,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:46
172,DoS Hulk,85,High,Normal Activity,2026-03-06 18:39:48
173,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:50
174,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:52
175,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:55
176,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:57
177,BENIGN,10,Low,Normal Activity,2026-03-06 18:39:59
178,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:01
179,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:03
180,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:06
181,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:08
182,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:10
183,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:12
184,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:14
185,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:16
186,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:19
187,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:21
188,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:23
189,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:25
190,PortScan,50,Medium,Reconnaissance,2026-03-06 18:40:27
191,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:29
192,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:32
193,PortScan,50,Medium,Reconnaissance,2026-03-06 18:40:34
194,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:36
195,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:38
196,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:40
197,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:42
198,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:45
199,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:47
200,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:49
201,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:51
202,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:53
203,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:55
204,BENIGN,10,Low,Normal Activity,2026-03-06 18:40:58
205,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:00
206,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:02
207,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:04
208,DoS Hulk,85,High,Normal Activity,2026-03-06 18:41:06
209,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:08
210,DDoS,90,Critical,Impact,2026-03-06 18:41:11
211,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:13
212,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:15
213,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:17
214,DoS Hulk,85,High,Normal Activity,2026-03-06 18:41:19
215,DoS Hulk,85,High,Normal Activity,2026-03-06 18:41:21
216,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:24
217,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:26
218,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:28
219,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:30
220,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:32
221,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:35
222,PortScan,50,Medium,Reconnaissance,2026-03-06 18:41:37
223,DoS Hulk,85,High,Normal Activity,2026-03-06 18:41:39
224,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:41
225,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:43
226,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:45
227,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:48
228,DDoS,90,Critical,Impact,2026-03-06 18:41:50
229,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:52
230,DoS Hulk,85,High,Normal Activity,2026-03-06 18:41:54
231,BENIGN,10,Low,Normal Activity,2026-03-06 18:41:56
232,PortScan,50,Medium,Reconnaissance,2026-03-06 18:41:59
233,DDoS,90,Critical,Impact,2026-03-06 18:42:01
234,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:03
235,DoS Hulk,85,High,Normal Activity,2026-03-06 18:42:05
236,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:07
237,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:09
238,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:11
239,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:14
240,DoS Hulk,85,High,Normal Activity,2026-03-06 18:42:16
241,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:18
242,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:20
243,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:22
244,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:24
245,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:27
246,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:29
247,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:31
248,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:33
249,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:35
250,DoS Slowhttptest,80,High,Normal Activity,2026-03-06 18:42:37
251,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:40
252,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:42
253,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:44
254,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:46
255,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:48
256,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:50
257,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:53
258,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:55
259,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:57
260,BENIGN,10,Low,Normal Activity,2026-03-06 18:42:59
261,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:01
262,PortScan,50,Medium,Reconnaissance,2026-03-06 18:43:03
263,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:06
264,Web Attack � Brute Force,50,Medium,Normal Activity,2026-03-06 18:43:08
265,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:10
266,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:12
267,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:14
268,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:17
269,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:19
270,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:21
271,DDoS,90,Critical,Impact,2026-03-06 18:43:23
272,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:25
273,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:28
274,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:30
275,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:32
276,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:34
277,DoS Hulk,85,High,Normal Activity,2026-03-06 18:43:36
278,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:39
279,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:41
280,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:43
281,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:45
282,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:47
283,DoS Hulk,85,High,Normal Activity,2026-03-06 18:43:49
284,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:52
285,DoS Hulk,85,High,Normal Activity,2026-03-06 18:43:54
286,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:56
287,BENIGN,10,Low,Normal Activity,2026-03-06 18:43:58
288,BENIGN,10,Low,Normal Activity,2026-03-06 18:44:00
289,BENIGN,10,Low,Normal Activity,2026-03-06 18:44:02
290,BENIGN,10,Low,Normal Activity,2026-03-06 18:44:05
291,DoS Hulk,85,High,Normal Activity,2026-03-06 18:44:07
292,BENIGN,10,Low,Normal Activity,2026-03-06 18:44:09
293,BENIGN,10,Low,Normal Activity,2026-03-06 18:44:11
294,PortScan,50,Medium,Reconnaissance,2026-03-06 18:44:13
295,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:11
296,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:14
297,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:16
298,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:18
299,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:20
300,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:22
301,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:24
302,PortScan,50,Medium,Reconnaissance,2026-03-06 18:45:27
303,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:29
304,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:31
305,PortScan,50,Medium,Reconnaissance,2026-03-06 18:45:33
306,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:35
307,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:38
308,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:40
309,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:42
310,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:44
311,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:46
312,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:49
313,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:51
314,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:53
315,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:55
316,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:57
317,BENIGN,10,Low,Normal Activity,2026-03-06 18:45:59
318,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:02
319,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:04
320,DDoS,90,Critical,Impact,2026-03-06 18:46:06
321,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:08
322,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:10
323,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:12
324,DoS Hulk,85,High,Normal Activity,2026-03-06 18:46:15
325,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:17
326,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:19
327,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:21
328,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:23
329,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:25
330,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:28
331,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:30
332,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:32
333,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:34
334,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:36
335,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:39
336,BENIGN,10,Low,Normal Activity,2026-03-06 18:46:41
1,BENIGN,10,Low,Unknown,2026-03-06 18:47:36
2,Privilege Escalation,78,High,Privilege Escalation,2026-03-06 18:47:38
3,BENIGN,10,Low,Unknown,2026-03-06 18:47:40
4,Ransomware Activity,77,High,Impact,2026-03-06 18:47:42
5,BENIGN,10,Low,Unknown,2026-03-06 18:47:44
6,BENIGN,10,Low,Unknown,2026-03-06 18:47:46
7,Phishing Attempt,78,High,Initial Access,2026-03-06 18:47:48
8,PortScan,50,Medium,Reconnaissance,2026-03-06 18:47:50
9,Data Exfiltration,85,High,Exfiltration,2026-03-06 18:47:52
10,BENIGN,10,Low,Unknown,2026-03-06 18:47:54
11,Phishing Attempt,91,Critical,Initial Access,2026-03-06 18:47:56
12,Phishing Attempt,70,High,Initial Access,2026-03-06 18:47:58
13,BENIGN,10,Low,Unknown,2026-03-06 18:48:01
14,BENIGN,10,Low,Unknown,2026-03-06 18:48:03
15,DoS Hulk,85,High,Unknown,2026-03-06 18:48:05
16,Data Exfiltration,84,High,Exfiltration,2026-03-06 18:48:07
17,Ransomware Activity,79,High,Impact,2026-03-06 18:48:09
18,BENIGN,10,Low,Unknown,2026-03-06 18:48:11
19,BENIGN,10,Low,Unknown,2026-03-06 18:48:13
20,Privilege Escalation,76,High,Privilege Escalation,2026-03-06 18:48:15
21,Ransomware Activity,90,Critical,Impact,2026-03-06 18:48:17
22,DoS Hulk,85,High,Unknown,2026-03-06 18:48:19
23,BENIGN,10,Low,Unknown,2026-03-06 18:48:21
24,BENIGN,10,Low,Unknown,2026-03-06 18:48:23
25,Privilege Escalation,72,High,Privilege Escalation,2026-03-06 18:48:25
26,DDoS,90,Critical,Impact,2026-03-06 18:48:27
27,Malware Beaconing,93,Critical,Command and Control,2026-03-06 18:48:29
28,BENIGN,10,Low,Unknown,2026-03-06 18:48:31
29,BENIGN,10,Low,Unknown,2026-03-06 18:48:33
30,Ransomware Activity,92,Critical,Impact,2026-03-06 18:48:35
31,BENIGN,10,Low,Unknown,2026-03-06 18:48:38
32,Ransomware Activity,79,High,Impact,2026-03-06 18:48:40
33,Phishing Attempt,78,High,Initial Access,2026-03-06 18:48:42
34,BENIGN,10,Low,Unknown,2026-03-06 18:48:44
35,DoS GoldenEye,85,High,Unknown,2026-03-06 18:48:46
36,BENIGN,10,Low,Unknown,2026-03-06 18:48:48
37,DDoS,90,Critical,Impact,2026-03-06 18:48:50
38,BENIGN,10,Low,Unknown,2026-03-06 18:48:52
39,BENIGN,10,Low,Unknown,2026-03-06 18:48:54
40,Data Exfiltration,74,High,Exfiltration,2026-03-06 18:48:56
41,BENIGN,10,Low,Unknown,2026-03-06 18:48:58
42,BENIGN,10,Low,Unknown,2026-03-06 18:49:00
43,BENIGN,10,Low,Unknown,2026-03-06 18:49:02
44,BENIGN,10,Low,Unknown,2026-03-06 18:49:05
45,Malware Beaconing,86,High,Command and Control,2026-03-06 18:49:07
46,BENIGN,10,Low,Unknown,2026-03-06 18:49:09
47,Ransomware Activity,81,High,Impact,2026-03-06 18:49:11
48,Privilege Escalation,91,Critical,Privilege Escalation,2026-03-06 18:49:13
49,Ransomware Activity,83,High,Impact,2026-03-06 18:49:15
50,BENIGN,10,Low,Unknown,2026-03-06 18:49:17
51,BENIGN,10,Low,Unknown,2026-03-06 18:49:19
52,BENIGN,10,Low,Unknown,2026-03-06 18:49:21
53,BENIGN,10,Low,Unknown,2026-03-06 18:49:23
54,DoS Hulk,85,High,Unknown,2026-03-06 18:49:26
55,BENIGN,10,Low,Unknown,2026-03-06 18:49:28
56,BENIGN,10,Low,Unknown,2026-03-06 18:49:30
57,PortScan,50,Medium,Reconnaissance,2026-03-06 18:49:32
58,BENIGN,10,Low,Unknown,2026-03-06 18:49:34
59,Ransomware Activity,80,High,Impact,2026-03-06 18:49:36
60,BENIGN,10,Low,Unknown,2026-03-06 18:49:39
61,BENIGN,10,Low,Unknown,2026-03-06 18:49:41
62,BENIGN,10,Low,Unknown,2026-03-06 18:49:43
63,BENIGN,10,Low,Unknown,2026-03-06 18:49:45
64,BENIGN,10,Low,Unknown,2026-03-06 18:49:47
65,Phishing Attempt,73,High,Initial Access,2026-03-06 18:49:49
66,BENIGN,10,Low,Unknown,2026-03-06 18:49:51
67,Malware Beaconing,87,High,Command and Control,2026-03-06 18:49:53
